curso_academico,cod_universidad,des_universidad,cod_centro,des_centro,cod_municipio,des_municipio,cod_campus,des_campus,des_tipo_centro,des_naturaleza_centro,des_situacion_centro,fecha_desde_situacion_centro,latitude,longitude
2021-22,036,Universidad-Carlos-III-de-Madrid,28041810,Campus-Puerta-de-Toledo,28079,MADRID,03604,Madrid-Puerta-de-Toledo,Propio,Publico,Activo,2013-01-01T00:00Z,40.40685,-3.70966
2021-22,036,Universidad-Carlos-III-de-Madrid,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,28065,GETAFE,03602,Getafe,Propio,Publico,Activo,2013-01-01T00:00Z,40.3157,-3.7257
2021-22,036,Universidad-Carlos-III-de-Madrid,28042292,Escuela-Politecnica-Superior,28074,LEGANES,03601,Leganes,Propio,Publico,Activo,2013-01-01T00:00Z,40.33184,-3.76521
2021-22,036,Universidad-Carlos-III-de-Madrid,28048385,Facultad-de-Humanidades-Comunicacion-y-Documentacion,28065,GETAFE,03602,Getafe,Propio,Publico,Activo,2013-01-01T00:00Z,40.31876,-3.7274
2021-22,036,Universidad-Carlos-III-de-Madrid,28050461,Facultad-de-Ciencias-Sociales-y-Juridicas,28044,COLMENAREJO,03603,Colmenarejo,Propio,Publico,Activo,2013-01-01T00:00Z,40.54344,-4.01327
2021-22,036,Universidad-Carlos-III-de-Madrid,28050471,Facultad-de-Humanidades-Comunicacion-y-Documentacion,28044,COLMENAREJO,03603,Colmenarejo,Propio,Publico,Activo,2013-01-01T00:00Z,40.54241,-4.01269
2021-22,036,Universidad-Carlos-III-de-Madrid,28051244,Escuela-Politecnica-Superior,28044,COLMENAREJO,03603,Colmenarejo,Propio,Publico,Activo,2013-01-01T00:00Z,40.54344,-4.01327
2021-22,036,Universidad-Carlos-III-de-Madrid,28051864,Centro-Universitario-Guardia-Civil,28013,ARANJUEZ,03605,Aranjuez,Adscrito,Publico,Activo,2013-01-01T00:00Z,40.05263,-3.59978
2021-22,036,Universidad-Carlos-III-de-Madrid,28053708,Escuela-de-Doctorado,28065,GETAFE,03602,Getafe,Propio,Publico,Activo,2014-01-01T00:00Z,40.31706,-3.72682
2021-22,036,Universidad-Carlos-III-de-Madrid,28053708,Escuela-de-Doctorado,28074,LEGANES,03601,Leganes,Propio,Publico,Activo,2014-01-01T00:00Z,40.3318,-3.76523
2021-22,036,Universidad-Carlos-III-de-Madrid,28053711,Centro-de-Postgrado,28065,GETAFE,03602,Getafe,Propio,Publico,Activo,2013-01-01T00:00Z,40.31556,-3.72574
2021-22,036,Universidad-Carlos-III-de-Madrid,28053711,Centro-de-Postgrado-Seccion-Escuela-Politecnica-Superior,28074,LEGANES,03601,Leganes,Propio,Publico,Activo,2013-01-01T00:00Z,40.33215,-3.76694
2021-22,036,Universidad-Carlos-III-de-Madrid,28053711,Centro-de-Postgrado,28079,MADRID,03604,Madrid-Puerta-de-Toledo,Propio,Publico,Activo,2013-01-01T00:00Z,40.40685,-3.70966
