curso_academico,cod_universidad,des_universidad,cod_centro,des_centro,cod_municipio,des_municipio,cod_campus,des_campus,des_tipo_centro,des_naturaleza_centro,des_situacion_centro,fecha_desde_situacion_centro,latitude,longitude
2021-22,010,Universidad-Complutense-de-Madrid,28029044,Facultad-de-Psicologia,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Propio,Publico,Activo,1900-01-01T00:00Z,40.432276,-3.793079
2021-22,010,Universidad-Complutense-de-Madrid,28027710,Facultad-de-Filologia,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.448791,-3.730503
2021-22,010,Universidad-Complutense-de-Madrid,28027761,Facultad-de-Filosofia,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.44874,-3.729855
2021-22,010,Universidad-Complutense-de-Madrid,28027746,Facultad-de-Geografia-e-Historia,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.449233,-3.734676
2021-22,010,Universidad-Complutense-de-Madrid,28043119,Facultad-de-Educacion,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.450616,-3.717734
2021-22,010,Universidad-Complutense-de-Madrid,28027837,Facultad-de-Ciencias-Quimicas,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.450837,-3.724082
2021-22,010,Universidad-Complutense-de-Madrid,28027758,Facultad-de-Ciencias-Fisicas,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.450891,-3.726098
2021-22,010,Universidad-Complutense-de-Madrid,28027849,Facultad-de-Ciencias-Matematicas,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.449506,-3.725849
2021-22,010,Universidad-Complutense-de-Madrid,28042899,Facultad-de-Informatica,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.452815,-3.733511
2021-22,010,Universidad-Complutense-de-Madrid,28027722,Facultad-de-Ciencias-Biologicas,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.448944,-3.726835
2021-22,010,Universidad-Complutense-de-Madrid,28027734,Facultad-de-Ciencias-Geologicas,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.448833,-3.725314
2021-22,010,Universidad-Complutense-de-Madrid,28027035,Facultad-de-Medicina,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.444095,-3.724105
2021-22,010,Universidad-Complutense-de-Madrid,28027011,Facultad-de-Farmacia,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.44531,-3.726335
2021-22,010,Universidad-Complutense-de-Madrid,28027047,Facultad-de-Veterinaria,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.449491,-3.738626
2021-22,010,Universidad-Complutense-de-Madrid,28039293,Facultad-de-Odontologia,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.442458,-3.725827
2021-22,010,Universidad-Complutense-de-Madrid,28027001,Facultad-de-Derecho,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.450748,-3.730781
2021-22,010,Universidad-Complutense-de-Madrid,28026997,Facultad-de-Ciencias-Politicas-y-Sociologia,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Propio,Publico,Activo,1900-01-01T00:00Z,40.430033,-3.789513
2021-22,010,Universidad-Complutense-de-Madrid,28026985,Facultad-de-Ciencias-Economicas-y-Empresariales,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Propio,Publico,Activo,1900-01-01T00:00Z,40.433493,-3.789403
2021-22,010,Universidad-Complutense-de-Madrid,28026973,Facultad-de-Ciencias-de-la-Informacion,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.445967,-3.728137
2021-22,010,Universidad-Complutense-de-Madrid,28042383,Facultad-de-Ciencias-de-la-Documentacion,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.43837,-3.70127
2021-22,010,Universidad-Complutense-de-Madrid,28027126,Facultad-de-Bellas-Artes,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.439987,-3.733893
2021-22,010,Universidad-Complutense-de-Madrid,28026730,Facultad-de-Comercio-y-Turismo,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.439777,-3.711767
2021-22,010,Universidad-Complutense-de-Madrid,28026821,Facultad-de-Optica-y-Optometria,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.425395,-3.613519
2021-22,010,Universidad-Complutense-de-Madrid,28026869,Facultad-de-Estudios-Estadisticos,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.446844,-3.736874
2021-22,010,Universidad-Complutense-de-Madrid,28029101,Facultad-de-Enfermeria-Fisioterapia-y-Podologia,28079,MADRID,01001,Ciudad-Universitaria,Propio,Publico,Activo,1900-01-01T00:00Z,40.443254,-3.72479
2021-22,010,Universidad-Complutense-de-Madrid,28036917,Facultad-de-Trabajo-Social,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Propio,Publico,Activo,1900-01-01T00:00Z,40.430908,-3.789443
2021-22,010,Universidad-Complutense-de-Madrid,28027631,Colegio-Universitario-de-Estudios-Financieros---CUNEF,28079,MADRID,01007,Campus-del-centro-Centro-Universitario-de-Estudios-Financieros-CUNEF,Adscrito,Privado,Activo,1900-01-01T00:00Z,40.451456,-3.720172
2021-22,010,Universidad-Complutense-de-Madrid,28027141,Colegio-Universitario-Cardenal-Cisneros,28079,MADRID,01004,Campus-del-centro-Centro-de-Ensenianza-Superior-Cardenal-Cisneros,Adscrito,Privado,Activo,1900-01-01T00:00Z,40.430865,-3.676124
2021-22,010,Universidad-Complutense-de-Madrid,28026717,Real-Centro-Universitario-Escorial---Maria-Cristina,28054,EL-ESCORIAL,01003,Campus-del-centro-Centro-de-Ensenianza-Superior-Real-Centro-Universitario-Escorial-Maria-Cristina,Adscrito,Privado-de-la-Iglesia,Activo,1900-01-01T00:00Z,40.588623,-4.150381
2021-22,010,Universidad-Complutense-de-Madrid,28051219,Instituto-de-Estudios-Bursatiles,28079,MADRID,01012,Campus-del-centro-Centro-de-Ensenianza-Superior-Instituto-de-Estudios-Bursatiles,Adscrito,Privado,Activo,1900-01-01T00:00Z,40.418703,-3.690797
