curso_academico,cod_universidad,des_universidad,cod_departamento,des_departamento,cod_municipio,des_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2021-22,036,Universidad-Carlos-III-de-Madrid,55003473,Departamento-de-Analisis-Social,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001917,Departamento-de-Biblioteconomia-y-Documentacion,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55002537,Departamento-de-Bioingenieria-e-Ingenieria-Aeroespacial,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001939,Departamento-de-Ciencia-e-Ingenieria-de-Materiales-e-Ingenieria-Quimica,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55003472,Departamento-de-Ciencias-Sociales,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001938,Departamento-de-Comunicacion,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001927,Departamento-de-Derecho-Internacional-Eclesiastico-y-Filosofia-del-Derecho,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001928,Departamento-de-Derecho-Penal-Procesal-e-Historia,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001924,Departamento-de-Derecho-Privado,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001926,Departamento-de-Derecho-Publico-del-Estado,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001925,Departamento-de-Derecho-Social-e-Internacional-Privado,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001916,Departamento-de-Economia,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001918,Departamento-de-Economia-de-la-Empresa,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001935,Departamento-de-Estadistica,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001921,Departamento-de-Fisica,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001940,Departamento-de-Humanidades-Filosofia-Lenguaje-y-Literatura,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001941,Departamento-de-Humanidades-Historia-Geografia-y-Arte,28065,GETAFE,03602,Getafe,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001919,Departamento-de-Informatica,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001933,Departamento-de-Ingenieria-de-Sistemas-y-Automatica,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001931,Departamento-de-Ingenieria-Electrica,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001934,Departamento-de-Ingenieria-Mecanica,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001929,Departamento-de-Ingenieria-Telematica,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001937,Departamento-de-Ingenieria-Termica-y-Fluidos,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001920,Departamento-de-Matematicas,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001936,Departamento-de-Mecanica-de-Medios-Continuos-y-Teoria-de-Estructuras,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001932,Departamento-de-Tecnologia-Electronica,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
2021-22,036,Universidad-Carlos-III-de-Madrid,55001930,Departamento-de-Teoria-de-la-Senial-y-Comunicaciones,28074,LEGANES,03601,Leganes,Activo,2013-01-01T00:00Z
