curso_academico,cod_universidad,des_universidad,cod_departamento,des_departamento,cod_municipio,des_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2021-22,010,Universidad-Complutense-de-Madrid,55000521,Filologia-Espaniola-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000522,Filologia-Romanica-Filologia-Eslava-y-Linguistica-General,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000523,Filologia-Latina,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000524,Filologia-Griega-y-Linguistica-Indoeuropea,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000525,Estudios-Arabes-e-Islamicos,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000526,Estudios-Hebreos-y-Arameos,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000527,Filologia-Francesa,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000528,Filologia-Italiana,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000529,Filologia-Alemana,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000530,Prehistoria,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000531,Historia-Antigua,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000532,Historia-Medieval,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000533,Historia-Moderna,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000534,Historia-Contemporanea,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
